,datadate,tic,capgn,cshoc,cshtrd,eps,prccd,prchd,prcld,prcod,trfd,idbflag,incorp,naics,spcseccd,spcsrc,gsector_25,gsector_35,gsector_40,gsector_45,gsector_50,ggroup_2510,ggroup_3520,ggroup_4010,ggroup_4020,ggroup_4510,ggroup_4530,ggroup_5020,gind_251020,gind_352020,gind_401010,gind_402030,gind_451020,gind_451030,gind_453010,gind_502030,gsector_25,gsector_35,gsector_40,gsector_45,gsector_50,gsubind_25102010,gsubind_35202010,gsubind_40101010,gsubind_40203020,gsubind_45102010,gsubind_45103010,gsubind_45103020,gsubind_45301010,gsubind_45301020,gsubind_50203010,gvkey_1704,gvkey_2968,gvkey_5073,gvkey_6066,gvkey_12141,gvkey_63080,gvkey_100080,gvkey_114628,gvkey_117768,gvkey_160329,gvkey_1704,gvkey_2968,gvkey_5073,gvkey_6066,gvkey_12141,gvkey_63080,gvkey_100080,gvkey_114628,gvkey_117768,gvkey_160329,direction
12295,20101118,GM.PB,,,1527952.0,,50.45,52.75,50.2,52.5,1.0,B,DE,33611,976.0,D,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0
12296,20101119,GM.PB,,,12942970.0,,50.5,50.74,49.13,50.35,1.0,B,DE,33611,976.0,D,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0
12297,20101122,GM.PB,,,5957203.0,,50.55,50.87,49.93,50.49,1.0,B,DE,33611,976.0,D,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0
12298,20101123,GM.PB,,,5791963.0,,49.96,50.38,49.82,50.15,1.0,B,DE,33611,976.0,D,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
12299,20101124,GM.PB,,,3997781.0,,50.29,50.49,49.94,50.4,1.0,B,DE,33611,976.0,D,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0
12300,20101126,GM.PB,,,490476.0,,50.47,50.5,49.98,50.06,1.0,B,DE,33611,976.0,D,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0
12301,20101129,GM.PB,,,2357936.0,,50.55,50.57,49.81,50.55,1.0,B,DE,33611,976.0,D,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0
12302,20101130,GM.PB,,,3198707.0,,50.7,50.8,50.07,50.34,1.0,B,DE,33611,976.0,D,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0
12303,20101201,GM.PB,,,2478526.0,,51.28,51.59,51.0,51.37,1.0,B,DE,33611,976.0,D,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0
12304,20101202,GM.PB,,,2775339.0,,51.45,51.59,51.07,51.59,1.0,B,DE,33611,976.0,D,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0
