gvkey,iid,datadate,tic,capgn,cshoc,cshtrd,eps,prccd,prchd,prcld,prcod,trfd,ggroup,gind,gsector,gsubind,idbflag,incorp,naics,spcseccd,spcsrc
001704,01,20070103,AMAT,,1392743000.0000,35072670.0000,0.9800,18.4200,18.6800,18.0700,18.3200,1.01553096,4530,453010,45,45301010,D,DE,333242,940,A-
001704,01,20070104,AMAT,,1392743000.0000,27604770.0000,0.9800,18.8000,18.8800,18.3400,18.3700,1.01553096,4530,453010,45,45301010,D,DE,333242,940,A-
001704,01,20070105,AMAT,,1392743000.0000,31157570.0000,0.9800,18.6700,18.7500,18.4200,18.6400,1.01553096,4530,453010,45,45301010,D,DE,333242,940,A-
001704,01,20070108,AMAT,,1392743000.0000,30196840.0000,0.9800,18.8900,19.0500,18.5700,18.6300,1.01553096,4530,453010,45,45301010,D,DE,333242,940,A-
001704,01,20070109,AMAT,,1392743000.0000,28491130.0000,0.9800,19.2500,19.2800,18.7899,18.9200,1.01553096,4530,453010,45,45301010,D,DE,333242,940,A-
001704,01,20070110,AMAT,,1392743000.0000,30423220.0000,0.9800,19.5400,19.6300,19.0100,19.1200,1.01553096,4530,453010,45,45301010,D,DE,333242,940,A-
001704,01,20070111,AMAT,,1392743000.0000,31083350.0000,0.9800,19.5300,19.7900,19.4600,19.4950,1.01553096,4530,453010,45,45301010,D,DE,333242,940,A-
001704,01,20070112,AMAT,,1392743000.0000,30982360.0000,0.9800,19.5000,19.5500,19.2999,19.3600,1.01553096,4530,453010,45,45301010,D,DE,333242,940,A-
001704,01,20070116,AMAT,,1392743000.0000,31180190.0000,0.9800,19.4800,19.5600,19.3000,19.5300,1.01553096,4530,453010,45,45301010,D,DE,333242,940,A-
001704,01,20070117,AMAT,,1392743000.0000,30250580.0000,0.9800,19.4000,19.7700,19.2500,19.3500,1.01553096,4530,453010,45,45301010,D,DE,333242,940,A-
001704,01,20070118,AMAT,,1392743000.0000,51360550.0000,0.9800,18.2500,18.6800,18.0600,18.5880,1.01553096,4530,453010,45,45301010,D,DE,333242,940,A-
